id,itemcategory_id,subwarehouse_id
2,2,2
3,3,2
4,4,4
5,5,7
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,2
13,13,2
14,14,1
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
29,29,1
30,30,2
31,31,2
32,32,2
33,33,2
34,34,2
35,35,2
36,36,2
37,37,2
38,38,2
39,39,9
40,40,9
41,41,9
42,42,9
43,43,9
44,44,9
45,45,9
46,46,9
47,47,9
48,48,9
49,49,9
50,50,9
51,51,9
52,52,9
53,53,9
54,54,9
55,55,9
56,56,9
57,57,9
58,58,9
59,59,9
60,60,14
61,61,14
62,62,14
63,63,14
64,64,14
65,65,14
66,66,14
67,67,14
68,68,14
69,69,13
70,70,13
71,71,13
72,72,13
73,73,13
74,74,8
75,75,8
76,76,8
77,77,15
78,78,16
79,79,17
80,80,18
81,81,19
82,82,20
83,83,21
84,84,22
85,85,23
86,86,24
